id,date,tweet
1233780823901396998,2020-02-29 15:47:25+00:00,진찌 점점 끝이 보여가긴 하는데 아직도 트친들의 오늘부터 1일 이거를 두번 더 봐야해.... 이태원 클라쓰가 끝나고도 한달을 더 기다려야한다고...!!!!
1233779702533259265,2020-02-29 15:42:58+00:00,"새로이ㅠㅠㅠ 아직 씁니다 대사미쳤네😭
이태원클라쓰 존잼ㅋㅋㅋㅋㅋㅋ 끄아아"
1233779567241748481,2020-02-29 15:42:26+00:00,이태원 클라쓰 보는 사람?
1233779548178616320,2020-02-29 15:42:21+00:00,샤도 이태원 클라쓰 보는구나!
1233779122590994432,2020-02-29 15:40:39+00:00,이태원본점...
1233778740603150336,2020-02-29 15:39:08+00:00,이태원클라스 너무 재밌어 드라마 맨날 본방사수하는 거 되게 오랜만이다
1233778458452357121,2020-02-29 15:38:01+00:00,본가 이태원뭐시기 보는데 나만 더캐보지 나만....
1233778198841708545,2020-02-29 15:36:59+00:00,박효진 ㄱㅇㅇ... 이태원클라쓰보는것도 ㄱㅇㅇ...
1233777858201284608,2020-02-29 15:35:38+00:00,이태원 진짜 대단한 드라마임 한주에 30분정도밖에 안보는데 내용 이해가 되고 진전이 없다는점에서...
1233777719176912896,2020-02-29 15:35:05+00:00,여러분 이태원클라쓰 보다가 하는 말인데 박서준님 본명 아닌 거 알고 계셨나요 저 방금 알았어요 매우충격
1233777110101049347,2020-02-29 15:32:40+00:00,일단 전 이태원클라스 보러 갔다오겠습니당 ~
1233775207917047808,2020-02-29 15:25:06+00:00,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 허헝 ㅠㅠㅠ 방에 처박혀 있으면서 이태원 드라마 소리 듣고 있다가 아직 시간 안 된줄 알고 있었다가 하이큐 반절 이상 놓쳤어ㅠㅠㅠㅠㅠ 개 속상해 ㅠㅠㅠㅠㅠ 찾아서 보면 되지만 속상해ㅠㅠㅠㅠㅠ
1233774261665271814,2020-02-29 15:21:21+00:00,이태원 개꿀잼 진심 다 보셈
1233774181621227521,2020-02-29 15:21:01+00:00,이태원 클라쓰 재밌다 ㅋ
1233773937089101826,2020-02-29 15:20:03+00:00,조승연 실망이다... 이태원클라쓰도 안보고... 난 이제야 다보고 트위터 들어왔는데(대체
1233773669576429568,2020-02-29 15:18:59+00:00,아이씨발 이태원클라쓰 졸라빡치내
1233773645790507008,2020-02-29 15:18:54+00:00,태형ㅇ님 요즘 이태원클라쓰 열심히 보고잇습니다 칭찬해주세요
1233773633824116737,2020-02-29 15:18:51+00:00,"이태원 클라쓰 오늘 좀 오진다..
근데 장근원 잘생김 ㅋㅋㅋㅋ..."
1233773191891316737,2020-02-29 15:17:06+00:00,"이태원 클라쓰 엔딩 어젠 개사이다였는데 오늘은 좀 뭉클하네,,,,ㅠㅠ"
1233773043480006656,2020-02-29 15:16:30+00:00,"이태원클라쓰ㅜㅡㅜ
너무 재밌어"
1233773023322202112,2020-02-29 15:16:25+00:00,"아직 씁니다.....
크......... 
이맛에 이태원클라쓰봅니다.."
1233772924101726209,2020-02-29 15:16:02+00:00,이태원클라스 박서준 연기 미쳤다... 아직은 씁니다 존나 쳐울었네
1233772912198307841,2020-02-29 15:15:59+00:00,하 그래서그래서 다음화 지금 시급하다 이태원클라쓰.......
1233772765309616128,2020-02-29 15:15:24+00:00,이태원클라쓰 볼 때마다 드는 생각인데 승요 과연 이거 보고 한번도 안 울었을까? 울었을텐데 조승연 잘 우니까 울지 않았을까...?
1233772666139529216,2020-02-29 15:15:00+00:00,이태원클라쓰...수아랑이서는같이안나오네
1233772632731840512,2020-02-29 15:14:52+00:00,이태원클라쓰 다음주까지 기다려야 하다니........
1233772594836324353,2020-02-29 15:14:43+00:00,이태원 클리스 기대하라는 건 뭐였을까.....
1233772587617882112,2020-02-29 15:14:41+00:00,이태원 클라스 짱 재밌네 😁😁😁
1233772323322228736,2020-02-29 15:13:38+00:00,오늘 이태원클라쓰 존나밋밋하네
1233772320407224321,2020-02-29 15:13:38+00:00,이태원클라쓰 ost 중에 김필 목소리가.. 너무 너무 드라마랑 어울려서 쓰려... 그다지 긁는 목소리는 아닌데 인생을 쓰게 긁는 것 처럼 아리게 만드는 노래야.......
1233772068757372929,2020-02-29 15:12:38+00:00,와 이태원 클라쓰 너무 개빡친다
1233772047601287170,2020-02-29 15:12:33+00:00,엄마...이 틈을 타서 이태원 클라쓰 보고있음
1233771951350353920,2020-02-29 15:12:10+00:00,"이태원클라쓰 (드라마판 기준) 전체적으로 말이 안 되는 전개가 많아 현실성이 떨어지게 느껴질 수 있고 중요 장면에서 나오는 등장인물의 대사들이 매우 평면적이다..

아직 역시 드라마 각본만 각잡고 쓴 전문 작가들에겐 미치지 못 하는 것일까ㅠㅠ
웹툰은 일단 타깃부터 완전 다른 매체이기도 하니"
1233771804604284929,2020-02-29 15:11:35+00:00,이태원클라쓰 빅픽쳐 오진다ㅠㅠㅠㅠㅠㅠ
1233771660211191813,2020-02-29 15:11:00+00:00,이태원 클라스 진짜 쓰레기 같은 드라마 용서 못한다
1233771655568084992,2020-02-29 15:10:59+00:00,아니 이태원클라쓰언제 끝나냐고... 나하이큐 봐야된다고...
1233771587377065984,2020-02-29 15:10:43+00:00,이태원클라쓰는 점점 산으로 가네....  멀리 못나가는데...대체 어디까지 갈려고 그러니..
1233771542640644097,2020-02-29 15:10:32+00:00,"이태원클라쓰...
넘 재밌다~~
다음회가 기대돼~~ㅎ"
1233771311257640960,2020-02-29 15:09:37+00:00,이태원클라쓰 김혜은은 귀고리 PPL을 위해 드라마에 출연하는거라 해도 될듯~
1233771157528072192,2020-02-29 15:09:00+00:00,얘들아 이태원클라쓰.언제 끝나냐??? 나 하이큐 봐야되는데
1233770810143203328,2020-02-29 15:07:38+00:00,아 병찬아 우리 나중에 브이앱으로 이태원 클라쓰 같이 보는거 어때
1233770700705427456,2020-02-29 15:07:12+00:00,우리 엄빠 이태원 클라스 보는데 자꾸 다음 대사 예지해서 스포함
1233770200496885760,2020-02-29 15:05:12+00:00,다들 이태원클라쓰보시나본데 준 그것 알고싶다 보는중 ㅎㅎㄹㄹ 재밌어요
1233770157199114240,2020-02-29 15:05:02+00:00,오 미친 그 이태원 클라스에 나오는 조이서님 우리 중학교 선배이심  왐마
1233769428640133123,2020-02-29 15:02:08+00:00,"헬비때부터 ㄷ권ㄴ나라 예쁜건 알고 있었고 좋아했는데 요즘 이태원 클라쓰 보면 립좀 다른거 발랐으면 좋겠다.. 저 틴트 스러운 쨍한 빨간색 넘 촌스럽... 
베메도 뭔가 좀............ 흠"
1233769270481317890,2020-02-29 15:01:31+00:00,오늘 진짜 심장 과부하야..퍼레..채보..소화도 안되는데 이태원클라쓰 이와중에 다들 연기도 미치겠네😇😇😇
1233768919799758848,2020-02-29 15:00:07+00:00,이태원 클라쓰 존잼
1233768846177128448,2020-02-29 14:59:49+00:00,"이태원 클라스 다시 봐야지. 
동허니 글 읽고 드라마에 집중이 1도 안 돼..."
1233768801511981057,2020-02-29 14:59:39+00:00,한국의 이태원은 외국인들이 살기 좋은 도시라고 하지?
1233768778393014273,2020-02-29 14:59:33+00:00,이태원클라쓰 오늘 진짜 짱이다.
1233768617927299073,2020-02-29 14:58:55+00:00,으악 이태원클라쓰 보다가 놓칠뻔 죽어ㅠㅜ
1233768539179241472,2020-02-29 14:58:36+00:00,이태원클라쓰에서 장근원이 젤 불쌍한 거 같은데.
1233768370035539969,2020-02-29 14:57:56+00:00,"이태원클라쓰 오늘 너무 답답래뇨,,"
1233767947648110592,2020-02-29 14:56:15+00:00,와 이태원 클라쓰 이렇게 흘러갈줄은 몰랐네
1233767619095744514,2020-02-29 14:54:57+00:00,이태원 클라쓰 보시는 분 진짜 🤦‍♀️🤦‍♀️
1233767312479547392,2020-02-29 14:53:44+00:00,유잼 얼렁 이태원 끝내고 검은 머리에 수트로 돌아와요
1233767224730513408,2020-02-29 14:53:23+00:00,이태원 클라쓰 봐여징
1233767191574532096,2020-02-29 14:53:15+00:00,이태원클라쓰 보다보니 멈출수업다
1233766856265101314,2020-02-29 14:51:55+00:00,헐;; 애비가 아들 뒷통수후려쳣넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이태원클래쓰 ㅈㄴ웃긴ㄷㅋㅋㅋㅋㅋㅋ겁나욕햇는데 반전이엿냐
1233766767379415040,2020-02-29 14:51:34+00:00,떡밥이 떨어져서 좋은 점 : 위버스에 이태원 클라쓰 얘기가 안보인다
1233766657106952192,2020-02-29 14:51:07+00:00,이태원 클라쓰 방금 머라한거지 회장
1233766418484609024,2020-02-29 14:50:11+00:00,이태원보곴는사람 ?
1336163620833529856,2020-12-08 04:20:06+00:00,요즘 코로나 때문에 헬스도 못하니 뱃살 다시 나오는 듯ㅠㅠ 그래서 식단 관리라도 하려고 단백질쉐이크 챙겨 먹고 있는데 이거 진짜 괜찮네요. 포만감이 오래가서 자기 전까지 안배고픔;; 물이랑도 잘 섞이고 맛도 존맛ㅋㅋ 지금 세일하니까 필요한 사람 ㄱㄱ
1233766031685849090,2020-02-29 14:48:38+00:00,이태원 클라스 잼네 난 본방안보고 이제 3편 끝냈는데 나 드라마보면서 중간에 폰 한번도 안보고 집중한건 개오랜만이야...
1233765882452533249,2020-02-29 14:48:03+00:00,이태원클라쓰 저 촌스러운 정서를 어떻게  2020년에 방영시키고 있는 지에 대한 의문만 쌓여가는 드라마.
1233765735924555776,2020-02-29 14:47:28+00:00,"이태원클라쓰 걍..
새로이후회공 장근원
장근수후회공 새로이
그리고.. 마조근수"
1233765591669858304,2020-02-29 14:46:53+00:00,"이태원 클라쓰
장가 아부지 어이서 본 얼굴인디 얼굴인디 했는데 약간 이ㄴㅎㄴ 케ㅇㅈ 닮은거같음
아주 약간"
1233765062256390145,2020-02-29 14:44:47+00:00,이태원클라쓰 범죄자미화를 부정으로 그리네 시발 망작됏군
1233764919826235393,2020-02-29 14:44:13+00:00,이태원 클라쓰 아직 많이 남았구나
1233764772518060034,2020-02-29 14:43:38+00:00,아니 이태원클라스 긴머가 단머한테 끊임없이 직진하는데 단머가 넹글돌은헤테로임 속상하다속상해
1233764338868969472,2020-02-29 14:41:55+00:00,이태원 클라쓰 개꿀잼ㅠ
1233763704992190464,2020-02-29 14:39:24+00:00,이태원 클라스 뭔 재미로 보는지 잘 모르겠는데 아무튼간 이주영 배우 분량이 지금보다 조금만 더 많이 나왔다면 그럼에도 불구하고 좋다고 생각했을텐데… 넘 적다…
1233762456062742530,2020-02-29 14:34:26+00:00,다들 이태원 클라쓰 봐 ???
1233762196825366529,2020-02-29 14:33:24+00:00,이태원 오늘 전개 개빠르네
1233761765403451392,2020-02-29 14:31:41+00:00,나 진짜 드라마 안 보는데 이태원 클라쓰는 재미있다 진짜 나 드라마 1년의 1번 볼까 말까인데 이태원 클라쓰는 재미있어••• 🤧
1233761753411936263,2020-02-29 14:31:38+00:00,가만보니 드라마 이태원클라스의 거대기업 장가는 CJ가 많이 들어가 있는것같아
1233761722034352128,2020-02-29 14:31:31+00:00,이태원 클라쓰 넘 재밋숨 연니도 보고잇나
1233761475753205761,2020-02-29 14:30:32+00:00,이태원 클라쓰 보시는분 👀
1233761323722428416,2020-02-29 14:29:56+00:00,이태원 클라쓰...천재캐를 띄워주기위해 모든 등장인물을 바보로 만드는데...
1233761204184551424,2020-02-29 14:29:27+00:00,연주니가 본다고 했던 이태원 클라쓰 보는 중
1233760827800293376,2020-02-29 14:27:58+00:00,"이태원클라쓰 보면서..
20억원으로 1프로 지분 확보 가능하다면 회사 시가총액 2천억원

이정도 시가총액가진 상장사는 넘 많은데 드라마에서 이회사의 사회적 영향력은 어마무시.. 언론도 넘 관심 보이고 ㅎ

별 공감이 안된다..."
1233760498367090689,2020-02-29 14:26:39+00:00,동생색히의 쓸데없는 고집때문에 이태원클라쓰도 못보고 피곤하고 해서 일찍 퇴트합니다.....
1233759903044362240,2020-02-29 14:24:17+00:00,지금 이태원클라쓰가 2016년 배경이지? 장근원이 감옥 간다치면 2020년으로 훌쩍 뛰어넘거나.. 뭔 일이 있겠지
1233759726715826176,2020-02-29 14:23:35+00:00,알함브라궁전의추억 보고왔는데 진짜 재미있음 ㅠㅜ마지막으로 이태원클라쓰 보고 자야겠음...
1233759389212762113,2020-02-29 14:22:15+00:00,이태원 보랴 수빈이 보랴 병찬아 너는 이태원 보냥
1233759151756439552,2020-02-29 14:21:18+00:00,엄마랑 율라씨는 이태원 클라쓰에 푹 빠졌고 나는 넘 심심해하고 ㅠ.ㅠ..
1233758995996790784,2020-02-29 14:20:41+00:00,이태원 클라쓰의 김혜은 배우님의 연기 짱짱이다 강민정이사 그자체야~ 그리고 이서도 좋음
1233758759505149957,2020-02-29 14:19:45+00:00,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이태원 클라쓰에서 내 이름 부른닼ㅋㅋㅋㅋㅋㅋ 개 흔한 내 이름쓰...
1233758367480414209,2020-02-29 14:18:11+00:00,이국적인 음식 파는 곳이 필요하다 이태원처럼 예전에 대전 중앙로에 네팔 음식점도 참 좋았었는데 (대충 저녁 안 먹어서 배고프다는 소리
1233757955528376320,2020-02-29 14:16:33+00:00,나만 이태원 클라쓰 안 보나
1233757883768037376,2020-02-29 14:16:16+00:00,이태원클라쓰...태형이가 말한게 뭘까...특별출연하나...아니면 노래 나오나...
1233757860141522944,2020-02-29 14:16:10+00:00,이태원클라쓰 너무 재밌다♡♡♡
1233757694189854720,2020-02-29 14:15:31+00:00,이태원 보고 오겠습니당
1233757589634072576,2020-02-29 14:15:06+00:00,이태원클라쓰 웹툰 특별편...대사는 전과 같은 임팩트를 품고 있었지만 발작화로 아름다운 마무리를 조져버렸다..모든게 완벽했던 만화의 비운의 마지막화. 다된 만화에 렉걸린 안주 뿌리다..
1233757506163228672,2020-02-29 14:14:46+00:00,이태원 보는 사람 ??
1233757436445519872,2020-02-29 14:14:29+00:00,우리 엄마가 나보다 이태원클라쓰 더 잘알고 있다
1233756990049898496,2020-02-29 14:12:43+00:00,이태원 클라쓰 하는 시간 룰루😙
1233756876455784448,2020-02-29 14:12:16+00:00,그래도 이태원클라쓰.. 사랑하는 사람 도와주겠다고 무작정 몸으로 부딪히고 앞뒤 안가리고 달려드는 캐릭터가 남자가 아니라 여자인 건 좀 신선하긴 함 그리고 김다미 배우가 정말 빛나네요
1233756567838875648,2020-02-29 14:11:02+00:00,"이태원클 넘 불편해 엄빠 보는데., 아니 왜 빻고 논란잇는 드라마들이 인기있지? 이런거 저런거 논란잇다 말하면 시청률 높잖아? 하는데... 저도 왠지 모르겟음 왜봐...  .... ."
1233756251718180865,2020-02-29 14:09:47+00:00,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나 엄마랑 지금 이태원 클라쓰 보는데 나쁜놈 너이새기 넌 끝낫어 장근원
1233756034180796416,2020-02-29 14:08:55+00:00,애들 다 이태원 보러갔냐 나도 보고싶다
1233755813254062080,2020-02-29 14:08:02+00:00,여러붕 저 이태원 클라쓰 보고 올게욤┗(^o^　)┓三
1233755730269765632,2020-02-29 14:07:42+00:00,"엄빠 이태원클 보는데 난 넘 불편하다.,. 말하면 귀찮아지니 말안하지만 진짜... 흠티콘이고.,"
1233755684170321920,2020-02-29 14:07:31+00:00,이태원클라쓰 윽
1233755595477438470,2020-02-29 14:07:10+00:00,망상남 같은 설정 다 견디며 봤는데 기어이 여자 때리는 장면까지 나오다니 이태원클라쓰 너무 질린다 증말
1233755450513870849,2020-02-29 14:06:36+00:00,저 이태원클라쓰 안봐서 그러는ㄷ 몇 시에 끝나요????
1233755143885053953,2020-02-29 14:05:23+00:00,이태원좀 보고올게잉
1233754825881341953,2020-02-29 14:04:07+00:00,저 이태원 클라쓰 보고 올게요 !
1233754824396591106,2020-02-29 14:04:06+00:00,이태원클라쓰 보고 오겠슴당
1233754772093554688,2020-02-29 14:03:54+00:00,이태원 클라쓰 보고오께요
1233754617940299777,2020-02-29 14:03:17+00:00,이태원보러감 ㅃ2
1233754534855372800,2020-02-29 14:02:57+00:00,이태원 클라쓰 10회 보는 타래
1233754466857308160,2020-02-29 14:02:41+00:00,이태원클라쓰본다
1233754456568684544,2020-02-29 14:02:39+00:00,이태원 시작한다ㅏ
1233754393742278656,2020-02-29 14:02:24+00:00,이태원클라쓰 준비하시공~
1233753769164210181,2020-02-29 13:59:55+00:00,이태원 클라쓰 잼있나? 보는 사람 많네
1233753730287161344,2020-02-29 13:59:45+00:00,전 이태원 클라쓰를 봐야 하기 때문에 이만 퇴트할게요! 다들 잘자요😊
1233753588222091264,2020-02-29 13:59:12+00:00,이태원봐야짐•••💃
